Electricity generation total (kilowatt-hours);1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Algeria;16,10,40,00,000.00;17,34,50,00,000.00;18,28,60,00,000.00;19,41,50,00,000.00;19,88,30,00,000.00;19,71,50,00,000.00;20,65,40,00,000.00;21,15,00,00,000.00;23,61,50,00,000.00;24,75,70,00,000.00;25,00,80,00,000.00;26,25,60,00,000.00;27,40,30,00,000.00;29,19,20,00,000.00;30,92,50,00,000.00;33,61,10,00,000.00;35,00,68,00,000.00;36,95,10,00,000.00;39,98,70,00,000.00
Argentina;50,94,00,00,000.00;54,05,40,00,000.00;56,26,20,00,000.00;62,53,00,00,000.00;65,62,20,00,000.00;67,16,90,00,000.00;69,75,90,00,000.00;72,46,30,00,000.00;74,17,00,00,000.00;80,74,50,00,000.00;88,97,80,00,000.00;90,13,80,00,000.00;84,58,10,00,000.00;92,04,70,00,000.00;1,00,26,70,00,000.00;1,05,54,50,00,000.00;1,17,14,20,00,000.00;1,20,82,80,00,000.00;1,25,05,70,00,000.00
Australia;1,55,96,40,00,000.00;1,58,25,00,00,000.00;1,61,69,80,00,000.00;1,65,63,20,00,000.00;1,70,43,90,00,000.00;1,75,50,40,00,000.00;1,80,40,00,00,000.00;1,89,55,10,00,000.00;1,99,66,00,00,000.00;2,05,56,50,00,000.00;2,12,30,10,00,000.00;2,21,60,20,00,000.00;2,27,23,90,00,000.00;2,28,25,61,00,000.00;2,37,39,59,00,000.00;2,48,96,82,00,000.00;2,54,74,95,00,000.00;2,60,59,31,00,000.00;2,72,26,19,00,000.00
Austria;50,41,40,00,000.00;51,48,40,00,000.00;51,18,00,00,000.00;52,67,50,00,000.00;53,30,90,00,000.00;56,58,70,00,000.00;54,83,50,00,000.00;56,85,10,00,000.00;57,43,70,00,000.00;60,36,90,00,000.00;61,79,80,00,000.00;61,80,30,00,000.00;62,67,10,00,000.00;60,21,90,00,000.00;64,28,50,00,000.00;60,63,20,00,000.00;63,39,40,00,000.00;63,74,10,00,000.00;67,79,60,00,000.00
Azerbaijan;23,20,00,00,000.00;23,35,60,00,000.00;19,67,30,00,000.00;19,10,00,00,000.00;17,57,10,00,000.00;17,04,40,00,000.00;17,08,80,00,000.00;16,80,00,00,000.00;17,90,00,00,000.00;18,10,00,00,000.00;18,70,00,00,000.00;18,96,90,00,000.00;18,70,10,00,000.00;21,28,60,00,000.00;21,74,40,00,000.00;22,87,20,00,000.00;24,54,30,00,000.00;21,84,70,00,000.00;21,64,56,00,000.00
Bangladesh;8,32,60,00,000.00;9,24,20,00,000.00;9,71,00,00,000.00;10,15,60,00,000.00;11,11,10,00,000.00;12,11,80,00,000.00;12,80,90,00,000.00;13,06,60,00,000.00;14,04,40,00,000.00;15,17,90,00,000.00;15,76,00,00,000.00;17,08,60,00,000.00;18,64,90,00,000.00;19,71,20,00,000.00;21,46,60,00,000.00;22,64,30,00,000.00;24,33,40,00,000.00;25,89,10,00,000.00;27,49,70,00,000.00
Belarus;39,52,60,00,000.00;38,73,50,00,000.00;37,59,50,00,000.00;33,36,90,00,000.00;31,39,70,00,000.00;24,91,80,00,000.00;23,72,80,00,000.00;26,10,00,00,000.00;23,50,00,00,000.00;26,50,00,00,000.00;26,10,00,00,000.00;25,04,20,00,000.00;26,45,50,00,000.00;26,62,70,00,000.00;31,21,10,00,000.00;30,96,10,00,000.00;31,81,10,00,000.00;31,81,10,00,000.00;34,91,20,00,000.00
Brazil;2,22,82,10,00,000.00;2,34,36,60,00,000.00;2,41,73,00,00,000.00;2,51,97,30,00,000.00;2,60,04,10,00,000.00;2,75,60,10,00,000.00;2,91,24,40,00,000.00;3,07,98,60,00,000.00;3,21,74,80,00,000.00;3,34,71,60,00,000.00;3,48,90,90,00,000.00;3,28,50,90,00,000.00;3,45,67,10,00,000.00;3,64,33,90,00,000.00;3,87,45,10,00,000.00;4,02,93,80,00,000.00;4,19,33,70,00,000.00;4,44,58,30,00,000.00;4,54,50,00,00,000.00
Bulgaria;42,14,10,00,000.00;38,91,70,00,000.00;35,61,00,00,000.00;37,99,70,00,000.00;38,13,30,00,000.00;41,79,00,00,000.00;42,71,60,00,000.00;42,72,00,00,000.00;41,66,60,00,000.00;38,17,70,00,000.00;40,92,70,00,000.00;43,96,90,00,000.00;42,70,10,00,000.00;42,60,00,00,000.00;41,62,10,00,000.00;44,36,50,00,000.00;45,84,30,00,000.00;43,13,90,00,000.00;44,98,80,00,000.00
Canada;4,82,02,50,00,000.00;5,07,91,30,00,000.00;5,20,92,40,00,000.00;5,32,09,40,00,000.00;5,55,65,00,00,000.00;5,59,56,20,00,000.00;5,72,91,00,00,000.00;5,73,57,30,00,000.00;5,61,61,90,00,000.00;5,77,08,00,00,000.00;6,04,79,90,00,000.00;5,82,37,10,00,000.00;5,81,09,40,00,000.00;5,67,83,30,00,000.00;5,76,41,80,00,000.00;5,97,24,80,00,000.00;5,92,00,80,00,000.00;6,03,57,20,00,000.00;5,98,92,80,00,000.00
